"pcl"; "eng"
"*ari-mi-n-dn-e/o-"; "beg for"
"*ari-smert-ā-"; "prohibition"
"*arjanjo-"; "sloe"
"*ar-je/o-"; "plough"
"*arjo-/-ek-"; "lord"
"*Arjoman-"; "god"
"*ark-e/o-"; "prevent"
"*arkenato-"; "shoes"
"*arkenno-"; "shoe"
"*arkVmm-"; "thrift"
"*arkʷeto-"; "shot"
"*arno-"; "river"
"*aro-"; "agriculture"
"*arto-"; "bear"
"*arto-"; "stone"
"*arwar-/-wan-"; "grain"
"*arwo-"; "fast"
"*asdo-"; "tuber"
"*askorno-"; "bone"
"*askrijā-"; "bosom"
"*ās-no-"; "firy, shining"
"*āso-"; "mouth"
"*āso-"; "seat"
"*astā-"; "rafter"
"*astanjā-"; "rafter"
"*astīli-"; "member"
"*ate-gnatV"; "before"
"*ateko-"; "some time"
"*ateli-"; "a kind of fish"
"*ati-"; "again"
"*ati-"; "prefix (above)"
"*āti-"; "oven"
"*ati-/ari-sweitsV-"; "depth"
"*ati-aw-e/o-"; "leave"
"*ati-ben-a-"; "cut"
"*ati-biw-"; "come to life again"
"*ati-daw-ino-"; "fire blight"
"*ati-exs-reg-e/o-"; "again"
"*ati-gabagli-"; "retaliation"
"*ati-ganā-"; "progeny"
"*ati-gnāto-"; "famous"
"*ati-kats-o-"; "unpleasant"
"*ati-kor-(eie-)"; "give back"
"*ati-kor-"; "give back"
"*ati-kor-eie-"; "give back"
"*ati-lang(s)man-"; "jump back"
"*ati-langman-"; "jump back"
"*ati-langsman-"; "jump back"
"*ātino-"; "oven"
"*ati-nu-"; "deposit"
"*ati-od-bher-to-"; "sacrifice"
"*ati-reg-V-"; "return"
"*ati-skʷā-"; "answer"
"*ati-wiro-"; "coward"
"*ati-φreko-"; "regret"
"*ati-φrek-o-"; "repentance"
"*atowjā-"; "gap"
"*attjo-"; "foster-father"
"*atǎkā-"; "breath"
"*au-ber-o-"; "worthless"
"*augā-"; "cave"
"*aunjo-"; "green"
"*ausos-"; "ear"
"*autedo-"; "separation"
"*auto-"; "fright, scare"
"*awa- / *au"; "away"
"*awa-"; "away"
"*au"; "away"
"*awa-"; "away"
"*au"; "away"
"*awantiā-"; "river name"
"*awarā"; "river name"
"*awelo-"; "breath"
"*awi-"; "friendly"
"*awillo-"; "pleasing"
"*aw-je/o-"; "defend"
"*awjo-"; "grandchild"
"*awo-"; "river name"
"*awo-"; "pronoun"
"*Awo-, *Awā-"; "river"
"*Awo-"; "river"
"*Awā-"; "river"
"*Awo-"; "river"
"*Awā-"; "river"
"*awontīr-"; "uncle"
"*awowo-"; "liver"
"*ax(s)tīn-āko-"; "full of gorse"
"*axtīn-āko-"; "full of gorse"
"*axstīn-āko-"; "full of gorse"
"*axsā-"; "degrees of consanguinity"
"*aφl-ant-"; "strength"
"*aφnajo-"; "riches"
"*aφo/an-maro-"; "worry"
"*aφs-"; "river name"
"*bādi-"; "sweet"
"*bād-je/o-"; "bathe"
"*badjo-"; "yellow"
"*ba-e/o-"; "die"
"*bāg-"; "fight"
"*bāgā-"; "fight"
"*bāg-āko-"; "warlike"
"*bāg-e/o-"; "speak"
"*bag-jo-"; "mistake"
"*bāgos"; "beech"
"*baisto-"; "desire"
"*bakk-āje/o-"; "hook"
"*bakko-"; "hook"
"*bakl-"; "buds"
"*balag-"; "efflux of river from lake"
"*balāko-"; "protrusion from a wall"
"*bal-e/o-, bal-le/o-"; "die"
"*bal-e/o-"; "die"
"bal-le/o-"; "die"
"*bal-e/o-"; "die"
"bal-le/o-"; "die"
"*baljo-"; "house"
"*balko-"; "proud, strong"
"*balko-"; "solid"
"*ballāko-"; "speckled"
"*ballo-"; "member"
"*balo-"; "illness"
"*balo-"; "white-faced"
"*ban(s)man-"; "step"
"*banman-"; "step"
"*bansman-"; "step"
"*banatl-āko-"; "broom-coloured"
"*banatlo-"; "furze"
"*bandi-"; "melodious"
"*bando-koro-"; "wattled fence"
"*ban-e/o-"; "shine"
"*bannjā-"; "drop"
"*banno-"; "ban"
"*bāno-"; "white"
"*ban-ōn-ā-"; "queen"
"*bano-westV-"; "wedding, feast"
"*banwo-"; "pig"
"*baran-"; "anger"
"*bardo-"; "bard"
"*bārego-"; "dawn"
"*barennǐkā-"; "shell"
"*bargo-"; "book"
"*bargo-, barginā-"; "cake, bread"
"*bargo-"; "cake, bread"
"barginā-"; "cake, bread"
"*bargo-"; "cake, bread"
"barginā-"; "cake, bread"
"*bargo-kūto-"; "kite"
"*barjo-"; "anger"
"*barkā-"; "onrush (esp. of waves)"
"*barko-"; "spear(-shaft)"
"*barno-"; "judge; judgment"
"*barro-"; "point, top"
"*baru- >> *bari-"; "heavy"
"*baru-"; "heavy"
"*bari-"; "heavy"
"*baru-"; "heavy"
"*bari-"; "heavy"
"*basedo-"; "boar"
"*baskjā-"; "burden"
"*baskjo- , *basko-"; "burden"
"*baskjo-"; "burden"
"*basko-"; "burden"
"*baskjo- "; "burden"
"*basko-"; "burden"
"*basko-"; "neckband"
"*basko-"; "red"
"*bata-"; "dumb"
"*bat-e/o-"; "speak"
"*bato-"; "death"
"*bat-we/o-, batt-"; "strike"
"*bat-we/o-"; "strike"
"batt-"; "strike"
"*bat-we/o-"; "strike"
"batt-"; "strike"
"*bautro-"; "dirty"
"*bautrV-"; "road"
"*bawano-"; "good (*luck-bringing)"
"*bawos-"; "use"
"*bebro-"; "beaver"
"*bedg-  < *besg-"; "dare"
"*bedg-"; "dare"
"*besg-"; "dare"
"*bedg- "; "dare"
"*besg-"; "dare"
"*bedo-"; "grave"
"*beg-e/o-, *bex-ske/o-"; "ask"
"*beg-e/o-"; "ask"
"*bex-ske/o-"; "ask"
"*beg-e/o-"; "ask"
"*bex-ske/o-"; "ask"
"*bei-e/o-"; "live"
"*beikk-je/o-/-ai-"; "roar"
"*beikʷo-"; "penis"
"*beino-"; "skin"
"*beisso-"; "custom"
"*beja-, *bī-"; "strike"
"*beja-"; "strike"
"*bī-"; "strike"
"*beja-"; "strike"
"*bī-"; "strike"
"*bejali-"; "axe"
"*beko-"; "bee"
"*belatu-"; "death"
"*belego-"; "marten"
"*belen(i)on-"; "henbane"
"*belenon-"; "henbane"
"*belenion-"; "henbane"
"*beljā-"; "tree, leaf"
"*belo-, beleno-"; "bright"
"*belo-"; "bright"
"beleno-"; "bright"
"*belo-"; "bright"
"beleno-"; "bright"
"*benā-"; "woman"
"*be-na-je/o-"; "strike"
"*bennā-"; "horn"
"*bennā-"; "wagon"
"*bennāko-"; "pointed"
"*berantī-"; "sow (pig)"
"*ber-e/o-"; "carry"
"*ber-e/o-"; "flow"
"*berg-o-"; "kite"
"*bergo-; *bergno-"; "heap"
"*bergo-"; "heap"
"*bergno-"; "heap"
"*bergo-"; "heap"
"*bergno-"; "heap"
"*bernā-"; "cleft, rift"
"*ber-no-"; "grief"
"*berro-"; "short"
"*berto-"; "burden"
"*berto-"; "shining"
"*bert-outV-/īto-"; "wonder"
"*beru-"; "spit (stake)"
"*beruro-"; "watercress"
"*ber-wa/o-"; "cook"
"*berw-o-"; "boil"
"*bēst(i)"; "maybe"
"*bēst"; "maybe"
"*bēsti"; "maybe"
"*betlo-"; "lip"
"*betwā-"; "birch"
"*bewa-, bū-"; "be"
"*bewa-"; "be"
"bū-"; "be"
"*bewa-"; "be"
"bū-"; "be"
"*bī-"; "pitch"
"*bibedat-"; "enemy"
"*bikko-, bikkakno-"; "small"
"*bikko-"; "small"
"bikkakno-"; "small"
"*bikko-"; "small"
"bikkakno-"; "small"
"*bikk-ǎno-"; "small"
"*bikulijā-"; "fear"
"*bili-"; "edge"
"*bili-"; "good"
"*binjo-"; "trespass"
"*birro-kʷeisl-o-"; "rash"
"*bissǐ-"; "finger"
"*bistlo-, boistlo-"; "gall"
"*bistlo-"; "gall"
"boistlo-"; "gall"
"*bistlo-"; "gall"
"boistlo-"; "gall"
"*bī-tā- 'cut'"; "hedge"
"*bit-amani-"; "swarm of bees"
"*bīti-"; "way"
"*bitu-"; "world"
"*biwo-"; "living"
"*biwoto-"; "life, food"
"*biwotūt-"; "life"
"*bl(e)id-anī-"; "year"
"*blid-anī-"; "year"
"*bleid-anī-"; "year"
"*blad-e/o-"; "break"
"*blaidā-  (not *blozgâ)"; "rejoice"
"*blaidā-  "; "rejoice"
"*blaidā-  not *blozgâ"; "rejoice"
"*blaiskV- , *blīskV-"; "shells"
"*blaiskV-"; "shells"
"*blīskV-"; "shells"
"*blaiskV- "; "shells"
"*blīskV-"; "shells"
"*blakno- / *blag(e)no-"; "top"
"*blakno-"; "top"
"*blag(e)no-"; "top"
"*blakno-"; "top"
"*blagno-"; "top"
"*blageno-"; "top"
"*blāro-"; "white, gray"
"*blast-o-sag-e/o-"; "taste"
"*blāto-"; "flower"
"*blawi-"; "hair"
"*blāwo-"; "yellow"
"*bledo-, *bledjo-"; "wolf"
"*bledo-"; "wolf"
"*bledjo-"; "wolf"
"*bledo-"; "wolf"
"*bledjo-"; "wolf"
"*bleido-"; "year"
"*blenni-, blanno-"; "spittle"
"*blenni-"; "spittle"
"blanno-"; "spittle"
"*blenni-"; "spittle"
"blanno-"; "spittle"
"*blew-āko-"; "hairy"
"*blībo-"; "catapult"
"*blid-anī-wexto-"; "year's time"
"*blīno-"; "tired"
"*blīno-tero-"; "fatigue"
"*blogā- / *blugā-"; "piece"
"*blogā-"; "piece"
"*blugā-"; "piece"
"*blogā-"; "piece"
"*blugā-"; "piece"
"*blon-eko-"; "fat"
"*blungo-"; "angry"
"*blusko- (/*blosko-)"; "noise"
"*blusko- "; "noise"
"*blusko- /*blosko-"; "noise"
"*bodwā-, *bodwo-"; "fight"
"*bodwā-"; "fight"
"*bodwo-"; "fight"
"*bodwā-"; "fight"
"*bodwo-"; "fight"
"*boglo-  /*bVulo-"; "water"
"*Bojī"; "ethnic name"
"*boldjā-"; "stroke"
"*bolgo-"; "bag"
"*bol-no-"; "open"
"*bolo-"; "strong"
"*bonn-eje/o-"; "forbid"
"*bono-"; "strike"
"*Bormo-"; "river name"
"*borro-"; "large"
"*bos(s)man-"; "bite"
"*bosman-"; "bite"
"*bossman-"; "bite"
"*bostā-"; "palm, fist"
"*bostā-"; "hand"
"*bot-e/o-"; "fear"
