"gla","eng","see-also","gla-keywords","eng-keywords","gla-metaphone","eng-metaphone"
"abadh","syllable, utterance; Early Irish <i>apad</i>, proclamation: <i>ad-ba-</i>, Celtic <i>ba</i>, speak; Latin <i>fatur</i>, <i>fama</i>, English fame.","","abadh","ad-ba-, apad, ba, celtic, earli, english, fama, fame, fatur, irish, latin, proclam, speak, syllabl, utter","APT","ANKLX, ANLX, APT, ARL, ARX, ATR, ATTP, FM, FTR, LTN, P, PRKLM, SLPL, SLTK, SPK"
"abaich","ripe, Irish <i>abaidh</i>, Middle Irish <i>abaid</i>, Early Irish <i>apaig</i>, <i>*ad-bagi</i>, Old Irish <i>apchugud</i>, autumnatio; <i>*ad-bog-</i>, Celtic root <i>bug</i>, as in bog, q.v.; <i>ad-bach</i>, root of English <i>bake</i>; Greek @G<i>fw/gw</i>. The Welsh <i>addfed</i> is from a root <i>met</i>.","","abaich","abaid, abaidh, ad-bach, ad-bagi, ad-bog-, addf, apaig, apchugud, as, autumnatio, bake, bog, bug, celtic, earli, english, from, fwgw, greek, in, irish, met, middl, of, old, qv, ripe, root, welsh","APK, APX","AF, ALT, ALX, AN, ANKLX, ANLX, APK, APKKT, APT, APXKT, ARL, ARX, AS, ATF, ATMNT, ATTPJ, ATTPK, ATTPKK, FK, FLX, FRM, KF, KRK, MT, MTL, PK, RP, RT, SLTK"
"abaideal","colic (M`A.):","","abaid","colic, m`a","APT","KLK, MM"
"abair","say, so Irish, Old Irish <i>epiur</i>, Celtic <i>ád-berô</i>; Latin <i>re-fero</i>; See root in beir.","","abair","beir, celtic, epiur, in, irish, latin, old, re-fero, root, say, see, so, ád-berô","APR","ALT, AN, APR, ARX, ATTPR, LTN, PR, RFR, RT, S, SLTK"
"abaisd","a brat, trifling, impudent person:","","abaisd","brat, impud, person, trifl","APST","AMPT, PRSN, PRT, TRFL"
"abalt","expert (M`A.); from Scottish <i>apert</i>? See aparr.","","abalt","aparr, apert, expert, from, m`a, scottish, see","APLT","AKSPRT, APR, APRT, FRM, MM, S, SKTX"
"abar","confluence; only in Pictish place names: Old Gaelic (Book of Deer) <i>abbor</i>; Welsh <i>aber</i>, Old Welsh <i>aper</i>, Celtic <i>ad-bero-</i>, root <i>ber</i>; See beir. Modern Gaelic pronounces it <b>obair</b> (so in 17th cent.), which agrees with the Old Welsh <i>oper</i>; this suggests <i>od-bero-</i>, ""out flow"", as against the ""to flow"" of <i>ad-bero-</i>. The od is for ud, allied to English <i>out</i>. Aporicum: <i>*ati-boro-n</i> (Holden).","","abar","17th, abbor, aber, ad-bero-, against, agre, alli, aper, aporicum, as, ati-boro-n, beir, ber, book, celtic, cent, confluenc, deer, english, flow, for, gaelic, holden, in, it, modern, name, obair, od, od-bero-, of, old, onli, oper, out, pictish, place, pronounc, root, see, so, suggest, this, to, ud, welsh, which, with","APR","0, 0S, A0, AF, AK, AKNST, AKR, AL, ALT, ALX, AN, ANKLX, ANL, ANLX, APR, APRKM, AS, AT, ATPRN, ATTPR, AX, FL, FLF, FLX, FR, FT, HLTN, KLK, KNFLNK, MTRN, NM, PK, PKTX, PLS, PR, PRNNK, RT, S, SKST, SLTK, SNT, T, TR, TS"
"abarach","bold; See abair above.","","abarach","abair, abov, bold, see","APRK","APF, APR, PLT, S"
"abardair","dictionary (Shaw); from abair, q.v.","","abardair","abair, dictionari, from, qv, shaw","APRTR","APR, FRM, KF, TKXNR, X, XF"
"abartach","talkative, bold; from abair, q.v.","","abartach","abair, bold, from, qv, talkat","APRTK","APR, FRM, KF, PLT, TLKT"
"àbh","hand net; from Norse <i>háfr</i>, pock-net. Also tàbh, q.v. Spelt less correctly <b>àmh</b> and <b>àbhadh</b>.","","abh, àbh","also, correct, from, hand, háfr, less, net, nors, pock-net, qv, spelt, tàbh, àbhadh, àmh","AP","ALS, AM, APT, FRM, HFR, HNT, KF, KRKT, LS, NRS, NT, PKKT, SPLT, TP"
"abh","bark of dog; an onomatopaetic word.","","abh","bark, dog, of, onomatopaet, word","AP","AF, ANMTPT, ART, FRT, PRK, TK"
"abhainn","river, Irish <i>abhann</i> (gen. <i>abhann</i>, now <i>aibhne</i>), Old Irish <i>abann</i>, Welsh <i>afon</i>, Breton <i>auon</i>, Gallo-Brit. <i>Abona</i>; Latin <i>amnis</i> (<i>*ab-nis</i>). Root abh; Sk. <i>ambhas</i>, water; Greek @G<i>a@'fros</i> ( @G<i>o@'/mbros</i>, imber) (Zim. Neu., 270).","","abhainn","270, a'fro, ab-ni, abann, abh, abhann, abona, afon, aibhn, ambha, amni, auon, breton, gallo-brit, gen, greek, imber, irish, latin, neu, now, o'mbro, old, river, root, sk, water, welsh, zim","APN","AAFR, AAMPR, AFN, ALT, ALX, AMN, AMP, AMPR, AN, AP, APN, APPN, ARX, ATR, FLX, FTR, JN, KLPRT, KN, KRK, LTN, N, NF, PRTN, RFR, RT, SK, SM"
"àbhacas","sport, irony; See àbhachd.","","abhaca, àbhaca","ironi, see, sport, àbhachd","APK","APKT, ARN, S, SPRT"
"àbhachd","humour, sport, Irish <i>adhbhachd</i>:","","abhachd, àbhachd","adhbhachd, humour, irish, sport","APKT","ARX, ATPKT, HMR, SPRT"
"abhag","terrier, Irish <i>abhach</i>; from abh, q.v. Cf. Early Irish <i>abacc</i>, dwarf; Welsh <i>afanc</i>.","","abhag","abacc, abh, abhach, afanc, cf, dwarf, earli, from, irish, qv, terrier, welsh","APK","AFNK, ALX, AP, APK, ARL, ARX, FLX, FRM, KF, TR, TRF, TRR"
"abhagas","rumour, false suspicion:","","abhaga","fals, rumour, suspicion","APK","FLS, RMR, SSPSN, SSPXN"
"àbhaist","custom, Manx <i>oaysh</i>, Irish <i>abhest</i> (O'R.), <i>abaise</i> (O'Br.), <i>ad-beus</i>? Middle Irish <i>ábaisi</i> (pl.). See beus, custom. Ascoli compares the Old Irish <i>-abais</i> of <i>duabais</i>, teter, and <i>suabais</i>, suavis. Meyer suggests from Norse <i>avist</i>, abode : unlikely.","","abhaist, àbhaist","-abai, abais, abhest, abod, ad-beus, ascoli, avist, beus, compar, custom, duabai, from, irish, manx, meyer, middl, nors, o'br, o'r, oaysh, of, old, pl, see, suabai, suavi, suggest, teter, unlik, ábaisi","APST","AAPR, AAR, AF, AFST, ALT, ANLK, AP, APS, APST, APT, ARX, ASKL, ATTPS, AX, FRM, KMPR, KSTM, MNKS, MR, MTL, NRS, P, PL, PS, S, SF, SKST, SP, TP, TTR"
"abhall","an orchard, apple-tree, Middle Irish <i>aball</i>, apple-tree. See ubhal.","","abhal","abal, apple-tre, irish, middl, orchard, see, ubhal","APL","APL, APLTR, ARKRT, ARX, ARXRT, MTL, S"
"abharr","silly jest (M`A.):","","abharr","jest, m`a, silli","APR","AST, JST, MM, SL"
"abharsair","Satan, Irish <i>aidhbherseóir</i>, Early Irish <i>adbirseoir</i>; from Latin <i>adversarius</i> (English <i>adversary</i>). Also <b>aibhistear</b>.","","abharsair","adbirseoir, adversari, adversarius, aibhistear, aidhbherseóir, also, earli, english, from, irish, latin, satan","APRSR","ALS, ANKLX, ANLX, APSTR, ARL, ARX, ATFRSR, ATFRSRS, ATPRSR, FRM, LTN, STN"
"abhcaid","a jest; àbhachd.","","abhcaid","jest, àbhachd","APKT","APKT, AST, JST"
"abhlan","wafer, so Irish, Old Irish <i>obla</i>, g. <i>oblann</i>; from Latin <i>oblationem</i>, an oblation. <!-- page 3 -->","","abhlan","from, irish, latin, obla, oblann, oblat, oblationem, old, page, so, wafer","APLN","AFR, ALT, APL, APLN, APLT, APLXNM, ARX, FFR, FRM, LTN, PJ, PK, S"
"abhra","eyelid; See fabhra.","","abhra","eyelid, fabhra, see","APR","ALT, FPR, S"
"abhras","spinning, produce of distaff, Irish, Middle Irish <i>abhras</i>, Old Irish <i>abras</i>, gestus, Early Irish <i>abras</i>, handiwork, spinning, <i>abairsech</i>, needlewoman. Corm. (B) <i>abras</i>, who derives it from Late Latin <i>abra</i>, ancilla.","","abhra","abairsech, abhra, abra, ancilla, corm, deriv, distaff, earli, from, gestus, handiwork, irish, it, late, latin, middl, needlewoman, of, old, produc, spin, who","APR","A, AF, ALT, ANS, ANSL, APR, APRSK, APRSX, ARL, ARX, AT, FRM, HNTRK, JSTS, KRM, KSTS, LT, LTN, MTL, NTLMN, PRTK, SPN, TRF, TSTF"
"abhsadh","the slackening of a sail, hoisting sail (N.H.); from Norse <i>hálsa</i>, clew up sail, from <i>hâls</i>, neck, allied to Latin <i>collum</i>. English <i>hawser</i> is also hence. Also <b>allsadh</b>.","","abhsadh","alli, allsadh, also, clew, collum, english, from, hawser, henc, hoist, hálsa, hâls, latin, neck, nh, nors, of, sail, slacken, to, up","APST","AF, AL, ALS, ALST, ANKLX, ANLX, AP, FRM, HLS, HNK, HSR, HST, KL, KLF, KLM, LTN, N, NK, NRS, SL, SLKN, T, XLKN"
"abhsporag","a cow's stomach, tripe (H.S.D.), <b>allsporag</b>, cow's throttle (M`A.); borrowed evidently from a Scandinavian compound of <i>háls</i>, neck. Cf. abhsadh.","","abhsporag","abhsadh, allsporag, borrow, cf, compound, cow, evid, from, hsd, háls, m`a, neck, of, scandinavian, stomach, throttl, tripe","APSPRK","0RTL, AF, AFT, ALSPRK, APST, FRM, HLS, K, KF, KMPNT, MM, NK, PR, PRF, SKNTNFN, ST, STMK, TRP, TRTL"
"ablach","a mangled carcase, Irish <i>ablach</i>, carcase: <i>*ád-bal-ac-</i>, from root <i>bal</i>, <i>bel</i>, die, Indo-European <i>gel</i>, whence Eng, <i>quell</i>. Irish has <i>abailt</i>, death, Old Irish <i>epeltu</i>, <i>atbail</i>, perit, from the same root and prefix; the first of them appears in our Gaelic dictionaries through Shaw. From Gaelic comes Scotch <i>ablach</i>.","","ablach","abailt, ablach, appear, atbail, bal, bel, carcas, come, death, dictionari, die, eng, epeltu, first, from, gaelic, gel, has, in, indo-european, irish, mangl, of, old, our, perit, prefix, quell, root, same, scotch, shaw, them, through, whenc, ád-bal-ac-","APLK","0M, 0R, AF, ALT, AN, ANK, ANTRPN, APLK, APLT, APR, AR, ARX, ATPL, ATTPLLKK, FRM, FRST, HS, JL, KL, KLK, KM, KRKS, MNKL, PL, PRFKS, PRT, RT, SKX, SM, T, T0, TKXNR, TM, TR, TT, X, XF"
"àbran, abran","(M`A. and H.S.D.), an oar-patch on a boat's gunwale; See aparan.","","abran, àbran","aparan, boat, gunwal, hsd, m`a, oar-patch, on, see","APRN","AN, APRN, ARRPX, KNL, MM, PT, S, ST"
"Abraon","April, so Irish; founded on Latin <i>Aprilis</i> (English <i>April</i>). The form is due to folk-etymology, which relates it to braon.","","abraon","april, aprili, braon, due, english, folk-etymolog, form, found, irish, it, latin, on, relat, so, to, which","APRN","AK, AN, ANKLX, ANLX, APRL, ARX, AT, AX, FLKKTMLK, FNT, FRM, LTN, PRN, RLT, S, T"
"abstol","apostle, Irish <i>absdal</i>, Old Irish <i>apstal</i>, Welsh <i>apostol</i>; from Latin <i>apostolus</i>, whence English <i>apostle</i>.","","abstol","absdal, apostl, apostol, apostolus, apstal, english, from, irish, latin, old, welsh, whenc","APSTL","ALT, ALX, ANK, ANKLX, ANLX, APSTL, APSTLS, ARX, FLX, FRM, LTN"
"acaid","a pain, stitch; <i>*ád-conti-</i>; See urchoid.","","acaid","pain, see, stitch, urchoid, ád-conti-","AKT","ARKT, ARXT, ATTKNT, PN, S, STX"
"acain","sigh, complaint, Early Irish <i>accáine</i>, Welsh <i>achwyn</i>; <i>ád+caoin</i>; See caoin, weep.","","acain","accáin, achwyn, caoin, complaint, earli, irish, see, sigh, weep, welsh, ádcaoin","AKN","AKN, ALX, AP, ARL, ARX, ATKN, FLX, FP, KMPLNT, KN, S"
"acair","anchor, Irish <i>ancaire</i>, Old Irish <i>ingor</i>; from Norse <i>akkeri</i>: <b>acairsaid</b>, anchorage, from Norse <i>akkarsaeti</i>, ""anchor-seat"". From Latin <i>ancora</i>, whence English <i>anchor</i>.","","acair","acairsaid, akkarsaeti, akkeri, ancair, anchor, anchor-seat, anchorag, ancora, english, from, ingor, irish, latin, nors, old, whenc","AKR","AKR, AKRST, ALT, ANK, ANKLX, ANKR, ANKRK, ANKRRST, ANLX, ANXR, ANXRK, ANXRRST, ARX, FRM, LTN, NRS"
"acair","acre, Irish <i>acra</i>; from English <i>acre</i>; Latin <i>ager</i>.","","acair","acr, acra, ager, english, from, irish, latin","AKR","AJR, AKR, ANKLX, ANLX, ARX, FRM, LTN"
"acarach","gentle; Irish <i>acarach</i>, obliging, convenient, which shades off into acartha, profit; Welsh <i>achar</i>, affectionate; <i>ád-car-</i>; See càr, friendly. M`A. has <b>acarra</b>, moderate in price, indulgence, which belongs to <b>acartha</b>.","","acarach","acarach, acarra, acartha, achar, affection, belong, conveni, càr, friend, gentl, has, in, indulg, into, irish, m`a, moder, oblig, off, price, profit, see, shade, to, welsh, which, ád-car-","AKRK","AF, AFKXN, AK, AKR, AKR0, AKRK, AKRT, ALX, AN, ANT, ANTLK, APLK, ARX, ATTKRR, AX, AXR, FLX, FRNT, HS, JNTL, KNFN, KNTL, KR, MM, MTR, PLNK, PRFT, PRS, S, T, XT"
"acaran","lumber.","","acaran","lumber","AKRN","LMPR"
"acartha","profit, so Irish; See ocar, interest.","","acartha","interest, irish, ocar, profit, see, so","AKR0, AKRT","AKR, ANTRST, ARX, PRFT, S"
"acastair","axle-tree; borrowed word from Scottish <i>ax-tree</i> of like meaning - English <i>axle</i>, &amp;c.","","acastair","ampc, ax-tre, axl, axle-tre, borrow, english, from, like, mean, of, scottish, word","AKSTR","AF, AKSKSTR, AKSL, AKSLTR, AMPK, ANKLX, ANLX, ART, FRM, FRT, LK, MN, PR, PRF, SKTX"
"ach","but, Irish achd, Old Gaelic (Book of Deer) <i>act</i>, Old Irish <i>act</i>, <i>acht</i>, <i>*ekstos</i>, possibly, from <i>eks</i>=<i>ex</i>; cf. Greek @G<i>e@'któs</i>, without. For the change of vowel, cf. as, from <i>eks</i>. The Welsh for ""but"" is <i>eithr</i>, from <i>ekster</i>; Latin <i>exter-</i>.","","ach","achd, acht, act, as, book, but, cf, chang, deer, e'któ, eithr, ek, ekster, eksto, ex, exter-, for, from, gaelic, greek, irish, latin, of, old, possibl, vowel, welsh, without","AK, AX","A0R, A0T, AAKT, AF, AK, AKS, AKST, AKSTR, AKSTRR, AKT, ALT, ALX, ARX, AS, ATR, AXT, FL, FLX, FR, FRM, FTT, KF, KLK, KRK, LTN, PK, PSPL, PT, TR, XNK"
"ach","interjection of objection and impatience; founded on ach with leaning upon och.","","ach","ach, found, impati, interject, lean, object, och, of, on, upon, with","AK, AX","A0, AF, AK, AMPT, AN, ANTRJKT, APJKT, APN, AX, FNT, FT, LN"
"achadh","a field, so Irish, Old Gaelic <i>achad</i>, Old Irish <i>ached</i> (locative?) campu lus (Adamnan), <i>*acoto-</i>; Latin <i>acies</i>, <i>acnua</i>, field. <!-- page 4 -->","","achadh","ach, achad, aci, acnua, acoto-, adamnan, campu, field, gaelic, irish, latin, locat, lus, old, page, so","AKT, AXT","AK, AKN, AKT, ALT, ARX, AS, ATMNN, AX, AXT, FLT, KLK, KMP, LKT, LS, LTN, PJ, PK, S"
"achain","prayer; dialect for achuinge, q.v.","","achain","achuing, dialect, for, prayer, qv","AKN, AXN","AKNK, AXNK, FR, KF, PRR, TLKT"
"acharradh","dwarf, sprite.","","acharradh","dwarf, sprite","AKRT, AXRT","SPRT, TRF"
"achd","statute, so Irish, Middle Irish <i>acht</i>; from Latin <i>actum</i>, English <i>act</i>.","","achd","acht, act, actum, english, from, irish, latin, middl, so, statut","AKT, AXT","AKT, AKTM, ANKLX, ANLX, ARX, FRM, LTN, MTL, S, STTT"
"achd","manner, condition, Irish, achd; same as achd. There may be a native <i>aktu-</i> (<i>*ag-tu</i>, <i>*pag-tu</i>?) underlying some meanings of the word, especially in Irish.","","achd","achd, ag-tu, aktu-, as, be, condit, especi, in, irish, manner, may, mean, nativ, of, pag-tu, same, some, there, under, word","AKT, AXT","0R, AF, AKKT, AKT, AN, ANTR, ART, ARX, AS, ASPS, AXT, FRT, KNTT, M, MN, MNR, NTF, P, PKKT, SM, TR"
"achdarr, achdartha","methodical, expert (H.S.D.):","","achdarr, achdartha","expert, hsd, method","AKTR, AKTRT, AXTR, AXTR0","AKSPRT, M0T, MTT, ST"
"achlaid","chase, pursuit, so Irish, Middle Irish <i>acclaid</i>, fishing, Early Irish <i>atclaid</i>, fishes, hunts, pursues: <i>ad-claidim</i>; See claoidh.","","achlaid","acclaid, ad-claidim, atclaid, chase, claoidh, earli, fish, hunt, irish, middl, pursu, pursuit, see, so","AKLT","AKLT, ARL, ARX, ATKLT, ATTKLTM, FX, HNT, KLT, MTL, PRS, PRST, S, XS"
"achlais","arm-pit, Irish <i>ascall</i>, Middle Irish <i>ochsal</i>, Welsh <i>cesail</i>. The divergence from regular philologic equivalence here proves borrowing - from the Latin <i>axilla</i>; Norse <i>öxl</i>, German <i>achsel</i>, Scottish <i>oxter</i>.","","achlai","achsel, arm-pit, ascal, axilla, borrow, cesail, diverg, equival, from, german, here, irish, latin, middl, nors, ochsal, oxter, philolog, prove, regular, scottish, welsh, öxl","AKL","AKFL, AKS, AKSL, AKSTR, ALX, ARMMPT, ARX, ASKL, FLLK, FLX, FRM, HR, JRMN, KRMN, LTN, MTL, NRS, PR, PRF, RKLR, SKTX, SSL, TFRK"
"achlan","lamentation (M`L.); for <i>och-lan</i>? from och.","","achlan","for, from, lament, m`l, och, och-lan","AKLN","AK, AKKN, AX, AXXN, FR, FRM, LMNT, MML"
"achmhasan","a rebuke, Irish <i>achmhusán</i>, Early Irish <i>athchomsán</i>; cf. aithis for root.","","achmhasan","achmhusán, aithi, athchomsán, cf, earli, for, irish, rebuk, root","AKMSN","A0, A0XMSN, AKMSN, ARL, ARX, AT, ATKMSN, FR, KF, RPK, RT"
"achuinge","supplication; also <b>athchuinge</b>, so Irish, Early Irish <i>athchuingid</i>; <i>ath+cuinge</i>; Old Irish <i>cuintgim</i>, peto, <i>con-tek-</i>; English thig. See atach.","","achuing","also, atach, athchuing, athchuingid, athcuing, con-tek-, cuintgim, earli, english, irish, old, peto, see, so, supplic, thig","AKNK, AXNK","0K, A0KNK, A0XNJT, A0XNK, ALS, ALT, ANKLX, ANLX, ARL, ARX, ATK, ATKNK, ATKNKT, KNNTKK, KNTJM, KNTKM, PT, S, SPLK, TK"
"acras","hunger, Irish <i>ocrus</i>, Early Irish <i>accorus</i>, <i>occorus</i>: <i>*ad-co-restu-</i>, possibly the root <i>pres</i> of Latin <i>premo</i>: <i>*careo</i> (F@+<i>4</i>. 422).","","acra","422, accorus, ad-co-restu-, careo, earli, hunger, irish, latin, occorus, ocrus, of, possibl, premo, pres, root","AKR","AF, AKRS, ARL, ARX, ATTKRST, HNJR, HNKR, KR, LTN, PRM, PRS, PSPL, RT"
"acuinn, acfhuinn","apparatus, accoutrements, Irish <i>acfuinn</i>, Early Irish <i>accmaing</i>, means, apparatus: <i>ad-cumang</i>, Old Irish <i>cumang</i>, potentia; See further under cumhachd.","","acfhuinn, acuinn","accma, accoutr, acfuinn, ad-cumang, apparatus, cumang, cumhachd, earli, further, irish, mean, old, potentia, see, under","AKFN, AKN","AKFN, AKM, AKTR, ALT, ANTR, APRTS, ARL, ARX, ATTKMNK, FR0R, FRTR, KMKT, KMNK, MN, PTNX, S"
"ad","hat, Middle Irish at, Welsh <i>het</i>; from English <i>hat</i>, Norse <i>hattr</i>.","","ad","at, english, from, hat, hattr, het, irish, middl, nors, welsh","AT","ALX, ANKLX, ANLX, ARX, AT, FLX, FRM, HT, HTR, MTL, NRS"
"ad-, adh-","inseparable prefix, in force and origin the same as Latin ad. It is to be separated, though with difficulty, from the ad- arising from aith- or ath-, q.v.","","ad, ad-, adh, adh-","ad, ad-, aith-, aris, as, ath-, be, difficulti, forc, from, in, insepar, it, latin, or, origin, prefix, qv, same, separ, though, to, with","AT, ATT","0, A0, A00, AN, ANSPR, AR, ARJN, ARKN, ARS, AS, AT, ATT, FRK, FRM, FT, KF, LTN, P, PRFKS, SM, SPR, T, TFKLT"
"adag","shock of corn, Irish <i>adag</i>; cf. Scottish <i>hat</i>, <i>hot</i>, <i>hut</i>, ""to put up grain in the field, a small stack built in the field""; Middle English <i>hutte</i>, heap.","","adag","adag, built, cf, corn, english, field, grain, hat, heap, hot, hut, hutt, in, irish, middl, of, put, scottish, shock, small, stack, to, up","ATK","AF, AN, ANKLX, ANLX, AP, ARX, ATK, FLT, HP, HT, KF, KRN, MTL, PLT, PT, SKTX, SML, STK, T, XK, XML"
"adag","a haddock; from the English.","","adag","english, from, haddock","ATK","ANKLX, ANLX, FRM, HTK"
"adamant","adamant, so Irish; from the English.","","adam","adam, english, from, irish, so","ATM","ANKLX, ANLX, ARX, ATM, FRM, S"
"adha, ae","liver, Irish <i>aeghe</i>, g. <i>ae</i>, Old Irish <i>óa</i>, <i>ae</i>, Welsh <i>afu</i>, Breton <i>avu</i>, root <i>av</i> Cf. adha for <i>ae</i>, cadha for <i>cae</i>.","","adha, ae","adha, ae, aegh, afu, av, avu, breton, cadha, cae, cf, for, irish, liver, old, root, welsh, óa","A, AT","A, AF, ALT, ALX, ARX, AT, FLX, FR, K, KF, KT, LFR, PRTN, RT"
"adhan","proverb (M`A.); rather <b>aghan</b>, root agh, Latin <i>ajo</i>, <i>adagio</i>, adage; Sanskrit <i>ah</i>, say.","","adhan","adag, adagio, agh, aghan, ah, ajo, latin, m`a, proverb, rather, root, sanskrit, say","ATN","A, AA, AAN, AH, AJ, ATJ, ATK, LTN, MM, PRFRP, R0R, RT, RTR, S, SNSKRT"
"adhal","flesh hook (Sh.), so Irish, Old Irish <i>áel</i>, tridens: <i>*pavelo-</i>, Latin <i>pavire</i>? But cf. English <i>awl</i>, Middle English and Anglo-Saxon <i>awel</i>, awl, flesh-hook.","","adhal","anglo-saxon, awel, awl, cf, english, flesh, flesh-hook, hook, irish, latin, middl, old, pavelo-, pavir, sh, so, triden, áel","ATL","AL, ALT, ANKLSKSN, ANKLX, ANLX, ARX, FLX, FLXXK, HK, KF, LTN, MTL, PFL, PFR, S, TRTN, X"
"adhaltrach","adulterous, Irish <i>adhaltranach</i>, Early Irish <i>adaltrach</i>; from Latin <i>adulter</i>, whence English <i>adulterous</i>.","","adhaltrach","adaltrach, adhaltranach, adult, adulter, earli, english, from, irish, latin, whenc","ATLTRK","ANK, ANKLX, ANLX, ARL, ARX, ATLT, ATLTR, ATLTRK, ATLTRNK, FRM, LTN"
